St. Joseph County Jail,POLICE STATION,701 W SAMPLE,South Bend,IN,46625,41.67905056300049,-86.25404046099965,574-235-9201
Mishawaka Public Library,LIBRARY,209 Lincoln Way East,Mishawaka,IN,46544,41.66108696000049,-86.17904246599966,574-259-5277
Mishawaka Public Library Bittersweet Branch,LIBRARY,602 Bittersweet Rd.,Mishawaka,IN,46544,41.670030383000494,-86.10949109799964,574-259-0392
St. Joseph Co. Public Library Francis Branch,LIBRARY,52655 Ironwood Dr.,South Bend,IN,46635,41.72854097700048,-86.21703015499969,574-282-4641
St. Joseph Co. Public Library Tutt Branch,LIBRARY,2223 Miami St.,South Bend,IN,46613,41.65117097700045,-86.23489053199967,574-282-4637
St. Joseph Co. Public Library River Park Branch,LIBRARY,2022 Mishawaka Av.,South Bend,IN,46615,41.6657208470005,-86.21666027299966,574-282-4635
St. Joseph Co. Public Library Main Branch,LIBRARY,304 S. Main St.,South Bend,IN,46601,41.673543564000454,-86.25187689899968,574-282-4646
St. Joseph Co. Public Library LaSalle Branch,LIBRARY,3232 Ardmore Tr.,South Bend,IN,46628,41.689051108000456,-86.29552017399965,574-282-4633
St. Joseph Co. Public Library Centre Township Branch,LIBRARY,1150 Kern Rd,South Bend,IN,46614,41.6076504240005,-86.23378088399966,574-251-3700
St. Joseph Co. Public Library Western Branch,LIBRARY,611 Lombardy Dr,South Bend,IN,46628,41.70801127800047,-86.30769577799964,574-282-4639
St. Joseph Co. Public Library German Township Branch,LIBRARY,52807 Lynnewood Av,South Bend,IN,46628,41.72393320100048,-86.28282263899968,574-271-5144
St. Joseph Co. Public Library North Liberty Branch,LIBRARY,105 E Market St,North Liberty,IN,46554,41.537320869000496,-86.42789091599968,574-656-3644
St. Joseph Co. Public Library Lakeville Branch,LIBRARY,120 N Michigan St,Lakeville,IN,46536,41.52547079800047,-86.27405084799966,574-784-3446
Mishawaka Public Library Harris Branch,LIBRARY,51446 Elm Rd,Granger,IN,46530,41.74701091100047,-86.13972007399968,574-271-3179
